#         time [s]      timestep [s]  temperature [T9]  density [g/cm^3]
    1.57944415E-02    1.47177286E-03    2.00001082E-01    8.72903965E+05
    1.74214005E-02    1.62695899E-03    2.00001229E-01    8.72903902E+05
    1.90658524E-02    1.64445193E-03    2.00001378E-01    8.72903838E+05
    2.07102924E-02    1.64443997E-03    2.00001527E-01    8.72903774E+05
    2.28808893E-02    2.17059694E-03    2.00001723E-01    8.72903690E+05
    2.52950942E-02    2.41420495E-03    2.00001942E-01    8.72903596E+05
    2.74565391E-02    2.16144483E-03    2.00002138E-01    8.72903512E+05
    2.98531022E-02    2.39656317E-03    2.00002355E-01    8.72903419E+05
    3.25168178E-02    2.66371555E-03    2.00002596E-01    8.72903316E+05
    3.54850879E-02    2.96827011E-03    2.00002865E-01    8.72903201E+05
    3.88019073E-02    3.31681941E-03    2.00003165E-01    8.72903072E+05
    4.25194760E-02    3.71756874E-03    2.00003502E-01    8.72902928E+05
    4.67003543E-02    4.18087824E-03    2.00003880E-01    8.72902766E+05
    5.14203876E-02    4.72003326E-03    2.00004307E-01    8.72902583E+05
    5.67727529E-02    5.35236532E-03    2.00004792E-01    8.72902375E+05
    6.28736834E-02    6.10093056E-03    2.00005344E-01    8.72902138E+05
    6.98707922E-02    6.99710880E-03    2.00005978E-01    8.72901867E+05
    7.79555817E-02    8.08478950E-03    2.00006710E-01    8.72901553E+05
    8.73830111E-02    9.42742940E-03    2.00007564E-01    8.72901187E+05
    9.85036311E-02    1.11206199E-02    2.00008540E-01    8.72900631E+05
    1.11819686E-01    1.33160554E-02    2.00009680E-01    8.72899853E+05
    1.26330445E-01    1.45107586E-02    2.00010923E-01    8.72899004E+05
    1.42487453E-01    1.61570080E-02    2.00012306E-01    8.72898059E+05
    1.51267277E-01    8.77982376E-03    2.00013058E-01    8.72897545E+05
    1.60659179E-01    9.39190225E-03    2.00013863E-01    8.72896996E+05
    1.70720415E-01    1.00612355E-02    2.00014724E-01    8.72896407E+05
    1.81515325E-01    1.07949102E-02    2.00015649E-01    8.72895776E+05
    1.93116495E-01    1.16011707E-02    2.00016642E-01    8.72895097E+05
    2.05606148E-01    1.24896529E-02    2.00017712E-01    8.72894367E+05
    2.19077822E-01    1.34716737E-02    2.00018866E-01    8.72893579E+05
    2.33638416E-01    1.45605943E-02    2.00020113E-01    8.72892727E+05
    2.49410694E-01    1.57722782E-02    2.00021464E-01    8.72891805E+05
    2.65546402E-01    1.61357073E-02    2.00022845E-01    8.72890861E+05
    2.81682976E-01    1.61365746E-02    2.00024228E-01    8.72889917E+05
    2.97820772E-01    1.61377951E-02    2.00025610E-01    8.72888973E+05
    3.13960169E-01    1.61393970E-02    2.00026992E-01    8.72888029E+05
    3.30101589E-01    1.61414207E-02    2.00028374E-01    8.72887085E+05
    3.46245506E-01    1.61439165E-02    2.00029757E-01    8.72886141E+05
    3.62392449E-01    1.61469436E-02    2.00031140E-01    8.72885196E+05
    3.78543020E-01    1.61505703E-02    2.00032523E-01    8.72884252E+05
    3.94697894E-01    1.61548742E-02    2.00033907E-01    8.72883307E+05
    4.10857837E-01    1.61599429E-02    2.00035291E-01    8.72882361E+05
    4.27023712E-01    1.61658751E-02    2.00036676E-01    8.72881416E+05
    4.43196494E-01    1.61727823E-02    2.00038061E-01    8.72880470E+05
    4.59377284E-01    1.61807894E-02    2.00039447E-01    8.72879523E+05
    4.75567321E-01    1.61900374E-02    2.00040834E-01    8.72878577E+05
    4.91768006E-01    1.62006848E-02    2.00042221E-01    8.72877629E+05
    5.07980916E-01    1.62129099E-02    2.00043610E-01    8.72876681E+05
    5.24207829E-01    1.62269134E-02    2.00045000E-01    8.72875732E+05
    5.40450751E-01    1.62429215E-02    2.00046391E-01    8.72874781E+05
    5.56711940E-01    1.62611891E-02    2.00047784E-01    8.72873830E+05
    5.72993943E-01    1.62820036E-02    2.00049232E-01    8.72872852E+05
    5.89299591E-01    1.63056480E-02    2.00051045E-01    8.72871693E+05
    6.05631836E-01    1.63322451E-02    2.00052861E-01    8.72870532E+05
    6.21994329E-01    1.63624924E-02    2.00054680E-01    8.72869369E+05
    6.38391188E-01    1.63968592E-02    2.00056503E-01    8.72868203E+05
    6.54827066E-01    1.64358785E-02    2.00058331E-01    8.72867035E+05
    6.94798930E-01    3.99718636E-02    2.00062775E-01    8.72864193E+05
    7.36552160E-01    4.17532300E-02    2.00067418E-01    8.72861225E+05
    7.80260906E-01    4.37087462E-02    2.00072278E-01    8.72858118E+05
    8.26121654E-01    4.58607475E-02    2.00077378E-01    8.72854858E+05
    8.74356860E-01    4.82352064E-02    2.00082741E-01    8.72851429E+05
    9.24742554E-01    5.03856943E-02    2.00088344E-01    8.72847848E+05
    9.74710046E-01    4.99674914E-02    2.00093901E-01    8.72844296E+05
    1.02454368E+00    4.98336344E-02    2.00099443E-01    8.72840754E+05
    1.07451297E+00    4.99692896E-02    2.00105000E-01    8.72837202E+05
    1.12489008E+00    5.03771111E-02    2.00110603E-01    8.72833621E+05
    1.17596616E+00    5.10760793E-02    2.00116284E-01    8.72829990E+05
    1.22806914E+00    5.21029831E-02    2.00122079E-01    8.72826287E+05
    1.28158588E+00    5.35167322E-02    2.00128031E-01    8.72822483E+05
    1.33699245E+00    5.54065792E-02    2.00134194E-01    8.72818544E+05
    1.39489915E+00    5.79066957E-02    2.00140635E-01    8.72814428E+05
    1.45612136E+00    6.12222128E-02    2.00147444E-01    8.72810136E+05
    1.51932738E+00    6.32060214E-02    2.00154472E-01    8.72805933E+05
    1.58270521E+00    6.33778269E-02    2.00161519E-01    8.72801718E+05
    1.67701507E+00    9.43098619E-02    2.00172006E-01    8.72795447E+05
    1.76823024E+00    9.12151715E-02    2.00182149E-01    8.72789381E+05
    1.85726324E+00    8.90329952E-02    2.00192050E-01    8.72783461E+05
    1.94489072E+00    8.76274841E-02    2.00201795E-01    8.72777634E+05
    2.03181961E+00    8.69288847E-02    2.00211463E-01    8.72771853E+05
    2.11873823E+00    8.69186255E-02    2.00221131E-01    8.72766074E+05
    2.20636311E+00    8.76248741E-02    2.00230877E-01    8.72760247E+05
    2.29548969E+00    8.91265781E-02    2.00240791E-01    8.72754321E+05
    2.38705679E+00    9.15670994E-02    2.00250891E-01    8.72747985E+05
    2.48223978E+00    9.51829920E-02    2.00261365E-01    8.72741328E+05
    2.58259519E+00    1.00355415E-01    2.00272409E-01    8.72734309E+05
    2.69031126E+00    1.07716066E-01    2.00284264E-01    8.72726776E+05
    2.80867623E+00    1.18364969E-01    2.00297292E-01    8.72718498E+05
    2.94304712E+00    1.34370890E-01    2.00312082E-01    8.72709101E+05
    3.10313819E+00    1.60091075E-01    2.00329705E-01    8.72697905E+05
    3.30955944E+00    2.06421243E-01    2.00352564E-01    8.72682909E+05
    3.59229257E+00    2.82733134E-01    2.00384003E-01    8.72661839E+05
    3.88063068E+00    2.88338112E-01    2.00416071E-01    8.72640352E+05
    4.17961605E+00    2.98985369E-01    2.00449047E-01    8.72618620E+05
    4.49858309E+00    3.18967040E-01    2.00483786E-01    8.72596313E+05
    4.84940948E+00    3.50826393E-01    2.00522000E-01    8.72571777E+05
    5.24934880E+00    3.99939314E-01    2.00565921E-01    8.72544898E+05
    5.72648578E+00    4.77136985E-01    2.00618440E-01    8.72513170E+05
    6.33826221E+00    6.11776422E-01    2.00685159E-01    8.72471876E+05
    7.03180437E+00    6.93542166E-01    2.00760697E-01    8.72424148E+05
    7.74104811E+00    7.09243740E-01    2.00837727E-01    8.72374988E+05
    8.46610209E+00    7.25053981E-01    2.00915921E-01    8.72325839E+05
    9.20695245E+00    7.40850356E-01    2.00996612E-01    8.72274027E+05
    9.96345299E+00    7.56500543E-01    2.01078233E-01    8.72225733E+05
    1.07353162E+01    7.71863177E-01    2.01160764E-01    8.72172487E+05
