#         time [s]      timestep [s]  temperature [T9]  density [g/cm^3]
    1.28456355E-02    1.14598663E-03    2.01200000E-01    1.11000000E+06
    1.39916224E-02    1.14598689E-03    2.01200000E-01    1.11000000E+06
    1.54485730E-02    1.45695061E-03    2.01200000E-01    1.11000000E+06
    1.70680554E-02    1.61948248E-03    2.01200000E-01    1.11000000E+06
    1.85062006E-02    1.43814511E-03    2.01200000E-01    1.11000000E+06
    2.00978223E-02    1.59162175E-03    2.01200000E-01    1.11000000E+06
    2.18632151E-02    1.76539279E-03    2.01200000E-01    1.11000000E+06
    2.38258841E-02    1.96266898E-03    2.01200000E-01    1.11000000E+06
    2.60132259E-02    2.18734177E-03    2.01200000E-01    1.11000000E+06
    2.84574102E-02    2.44418438E-03    2.01200000E-01    1.11000000E+06
    3.11965358E-02    2.73912557E-03    2.01200000E-01    1.11000000E+06
    3.42761634E-02    3.07962756E-03    2.01200000E-01    1.11000000E+06
    3.77513810E-02    3.47521759E-03    2.01239445E-01    1.11000000E+06
    4.16775019E-02    3.92612092E-03    2.01300000E-01    1.11000000E+06
    4.61253806E-02    4.44787875E-03    2.01300000E-01    1.11000000E+06
    5.12161100E-02    5.09072940E-03    2.01300000E-01    1.11000000E+06
    5.70856073E-02    5.86949728E-03    2.01300000E-01    1.11000000E+06
    6.39120474E-02    6.82644008E-03    2.01300000E-01    1.10900000E+06
    7.19466686E-02    8.03462125E-03    2.01300000E-01    1.10900000E+06
    8.13286819E-02    9.38201323E-03    2.01300000E-01    1.10900000E+06
    9.25994525E-02    1.12707706E-02    2.01400000E-01    1.10900000E+06
    9.82325082E-02    5.63305574E-03    2.01400000E-01    1.10900000E+06
    1.04256424E-01    6.02391572E-03    2.01400000E-01    1.10900000E+06
    1.10707666E-01    6.45124179E-03    2.01400000E-01    1.10900000E+06
    1.17627237E-01    6.91957093E-03    2.01400000E-01    1.10900000E+06
    1.25061435E-01    7.43419841E-03    2.01400000E-01    1.10900000E+06
    1.33062772E-01    8.00133659E-03    2.01400000E-01    1.10900000E+06
    1.41691085E-01    8.62831356E-03    2.01400000E-01    1.10900000E+06
    1.51014909E-01    9.32382394E-03    2.01400000E-01    1.10900000E+06
    1.61113157E-01    1.00982481E-02    2.01454973E-01    1.10900000E+06
    1.72032308E-01    1.09191508E-02    2.01500000E-01    1.10900000E+06
    1.83178779E-01    1.11464706E-02    2.01500000E-01    1.10900000E+06
    1.94325863E-01    1.11470842E-02    2.01500000E-01    1.10900000E+06
    2.05473689E-01    1.11478266E-02    2.01500000E-01    1.10900000E+06
    2.16622391E-01    1.11487019E-02    2.01500000E-01    1.10900000E+06
    2.27772112E-01    1.11497204E-02    2.01500000E-01    1.10900000E+06
    2.38923009E-01    1.11508973E-02    2.01500511E-01    1.10900000E+06
    2.50074990E-01    1.11519809E-02    2.01578844E-01    1.10900000E+06
    2.61187152E-01    1.11121624E-02    2.01600000E-01    1.10900000E+06
    2.72289929E-01    1.11027767E-02    2.01600000E-01    1.10900000E+06
    2.83394714E-01    1.11047851E-02    2.01600000E-01    1.10900000E+06
    2.94501790E-01    1.11070762E-02    2.01600000E-01    1.10900000E+06
    3.05611477E-01    1.11096862E-02    2.01600000E-01    1.10900000E+06
    3.16724133E-01    1.11126559E-02    2.01600000E-01    1.10900000E+06
    3.27840163E-01    1.11160308E-02    2.01600000E-01    1.10900000E+06
    3.38960026E-01    1.11198625E-02    2.01600000E-01    1.10900000E+06
    3.50084234E-01    1.11242085E-02    2.01600000E-01    1.10900000E+06
    3.61213368E-01    1.11291336E-02    2.01600000E-01    1.10900000E+06
    3.72348078E-01    1.11347103E-02    2.01638994E-01    1.10900000E+06
    3.83468443E-01    1.11203652E-02    2.01700000E-01    1.10900000E+06
    3.94563643E-01    1.10951998E-02    2.01700000E-01    1.10900000E+06
    4.05666816E-01    1.11031730E-02    2.01700000E-01    1.10900000E+06
    4.16778994E-01    1.11121775E-02    2.01700000E-01    1.10900000E+06
    4.27901335E-01    1.11223410E-02    2.01700000E-01    1.10900000E+06
    4.39035142E-01    1.11338076E-02    2.01700000E-01    1.10900000E+06
    4.50181882E-01    1.11467396E-02    2.01700000E-01    1.10900000E+06
    4.80705966E-01    3.05240839E-02    2.01700000E-01    1.10900000E+06
    5.12593297E-01    3.18873314E-02    2.01700000E-01    1.10900000E+06
    5.45971686E-01    3.33783886E-02    2.01756634E-01    1.10900000E+06
    5.80873230E-01    3.49015441E-02    2.01800000E-01    1.10900000E+06
