#    ti [s]            T9 [GK]           de [g/cc]         R [km]       
  2.6674605961e-01  1.0995218882e+00  5.9153752018e+04  4.3066525842e+08
  2.7990466011e-01  1.0705981783e+00  5.1717441120e+04  4.5038950436e+08
  2.9368766562e-01  1.0425215304e+00  4.5206573567e+04  4.7104970987e+08
  3.0812470557e-01  1.0152433761e+00  3.9507523542e+04  4.9269028833e+08
  3.2324681534e-01  9.8871618403e-01  3.4520362832e+04  5.1535776063e+08
  3.3908650304e-01  9.6289334551e-01  3.0157250996e+04  5.3910085517e+08
  3.5567781934e-01  9.3772905876e-01  2.6341007970e+04  5.6397061264e+08
  3.7305643069e-01  9.1317821228e-01  2.3003849547e+04  5.9002049571e+08
  3.9125969601e-01  8.8919627057e-01  2.0086268077e+04  6.1730650397e+08
  4.1032674697e-01  8.6573916596e-01  1.7536042478e+04  6.4588729435e+08
  4.3029857213e-01  8.4276320202e-01  1.5307363287e+04  6.7582430713e+08
  4.5121810505e-01  8.2022497678e-01  1.3360059940e+04  7.0718189810e+08
  4.7313031659e-01  7.9808133690e-01  1.1658918791e+04  7.4002747689e+08
  4.9608231156e-01  7.7628937895e-01  1.0173081614e+04  7.7443165183e+08
  5.2012343001e-01  7.5480651979e-01  8.8755154173e+03  8.1046838180e+08
  5.4530535329e-01  7.3359066598e-01  7.7425453924e+03  8.4821513518e+08
  5.7168221513e-01  7.1260052191e-01  6.7534437084e+03  8.8775305641e+08
  5.9931071805e-01  6.9179608680e-01  5.8900676725e+03  9.2916714042e+08
  6.2825025521e-01  6.7113940186e-01  5.1365414912e+03  9.7254641531e+08
  6.5856303812e-01  6.5059561502e-01  4.4789765153e+03  1.0179841338e+09
  6.9031423035e-01  6.3013442755e-01  3.9052254309e+03  1.0655779736e+09
  7.2357208765e-01  6.0973196288e-01  3.4046663712e+03  1.1154302476e+09
  7.5840810465e-01  5.8937303896e-01  2.9680133896e+03  1.1676481234e+09
  7.9489716854e-01  5.6905371875e-01  2.5871501413e+03  1.2223438541e+09
  8.3311772011e-01  5.4878385214e-01  2.2549839871e+03  1.2796350196e+09
  8.7315192231e-01  5.2858912922e-01  1.9653180609e+03  1.3396447790e+09
  9.1508583692e-01  5.0851200460e-01  1.7127391265e+03  1.4025021357e+09
  9.5900960954e-01  4.8861083496e-01  1.4925193088e+03  1.4683422145e+09
  1.0050176634e+00  4.6895680953e-01  1.3005300103e+03  1.5373065523e+09
  1.0532089023e+00  4.4962877081e-01  1.1331665250e+03  1.6095434020e+09
  1.1036869232e+00  4.3070667088e-01  9.8728203920e+02  1.6852080519e+09
  1.1565602391e+00  4.1226489782e-01  8.6012986701e+02  1.7644631585e+09
  1.2119425120e+00  3.9436676888e-01  7.4931290571e+02  1.8474790972e+09
  1.2699527976e+00  3.7706108288e-01  6.5273942052e+02  1.9344343278e+09
  1.3307158010e+00  3.6038097079e-01  5.6858437511e+02  2.0255157785e+09
  1.3943621448e+00  3.4434469384e-01  4.9525562014e+02  2.1209192477e+09
  1.4610286499e+00  3.2895771868e-01  4.3136433597e+02  2.2208498248e+09
  1.5308586297e+00  3.1421536716e-01  3.7569919978e+02  2.3255223313e+09
  1.6040021982e+00  3.0010549228e-01  3.2720381228e+02  2.4351617823e+09
  1.6806165926e+00  2.8661084483e-01  2.8495697647e+02  2.5500038703e+09
  1.7608665113e+00  2.7371098334e-01  2.4815547121e+02  2.6702954722e+09
  1.8449244681e+00  2.6138371020e-01  2.1609900674e+02  2.7962951796e+09
  1.9329711629e+00  2.4960608829e-01  1.8817708778e+02  2.9282738549e+09
  2.0251958702e+00  2.3835512140e-01  1.6385754434e+02  3.0665152134e+09
  2.1217968461e+00  2.2760818399e-01  1.4267651988e+02  3.2113164334e+09
  2.2229817543e+00  2.1734327488e-01  1.2422973301e+02  3.3629887952e+09
  2.3289681127e+00  2.0753915361e-01  1.0816485174e+02  3.5218583496e+09
  2.4399837607e+00  1.9817540254e-01  9.4174839491e+01  3.6882666196e+09
  2.5562673495e+00  1.8923244433e-01  8.1992149805e+01  3.8625713342e+09
  2.6780688546e+00  1.8069153398e-01  7.1383662076e+01  4.0451471971e+09
  2.8056501134e+00  1.7253473760e-01  6.2146264234e+01  4.2363866930e+09
  2.9392853883e+00  1.6474490461e-01  5.4103000156e+01  4.4367009307e+09
  3.0792619557e+00  1.5730563745e-01  4.7099709952e+01  4.6465205267e+09
  3.2258807243e+00  1.5020126069e-01  4.1002100364e+01  4.8662965318e+09
  3.3794568813e+00  1.4341679062e-01  3.5693190457e+01  5.0965013998e+09
  3.5403205703e+00  1.3693790573e-01  3.1071084732e+01  5.3376300034e+09
  3.7088176010e+00  1.3075091819e-01  2.7047031850e+01  5.5902006985e+09
  3.8853101926e+00  1.2484274658e-01  2.3543732482e+01  5.8547564378e+09
  4.0701777524e+00  1.1920088951e-01  2.0493864434e+01  6.1318659384e+09
  4.2638176912e+00  1.1381340056e-01  1.7838797230e+01  6.4221249045e+09
  4.4666462780e+00  1.0866886408e-01  1.5527471917e+01  6.7261573076e+09
  4.6790995349e+00  1.0375637206e-01  1.3515424902e+01  7.0446167280e+09
  4.9016341738e+00  9.9065501991e-02  1.1763937378e+01  7.3781877600e+09
  5.1347285789e+00  9.4586295633e-02  1.0239294205e+01  7.7275874833e+09
  5.3788838348e+00  9.0309238658e-02  1.0000000000e+01  8.0935670047e+09
  5.6346248035e+00  8.6225241187e-02  1.0000000000e+01  8.4769130728e+09
  5.9025012529e+00  8.2325619139e-02  1.0000000000e+01  8.8784497689e+09
  6.1830890389e+00  7.8602076374e-02  1.0000000000e+01  9.2990402791e+09
  6.4769913427e+00  7.5046687599e-02  1.0000000000e+01  9.7395887495e+09
  6.7848399680e+00  7.1651882009e-02  1.0000000000e+01  1.0201042230e+10
  7.1072966989e+00  6.8410427629e-02  1.0000000000e+01  1.0684392710e+10
  7.4450547228e+00  6.5315416327e-02  1.0000000000e+01  1.1190679250e+10
  7.7988401200e+00  6.2360249477e-02  1.0000000000e+01  1.1720990220e+10
  8.1694134255e+00  5.9538624245e-02  1.0000000000e+01  1.2276465630e+10
  8.5575712628e+00  5.6844520463e-02  1.0000000000e+01  1.2858299591e+10
  8.9641480575e+00  5.4272188075e-02  1.0000000000e+01  1.3467742874e+10
  9.3900178302e+00  5.1816135136e-02  1.0000000000e+01  1.4106105604e+10
  9.8360960759e+00  4.9471116325e-02  1.0000000000e+01  1.4774760073e+10
  1.0303341732e+01  4.7232121964e-02  1.0000000000e+01  1.5475143691e+10
  1.0792759239e+01  4.5094367522e-02  1.0000000000e+01  1.6208762078e+10
  1.1305400701e+01  4.3053283570e-02  1.0000000000e+01  1.6977192298e+10
  1.1842368146e+01  4.1104506184e-02  1.0000000000e+01  1.7782086250e+10
  1.2404815898e+01  3.9243867768e-02  1.0000000000e+01  1.8625174220e+10
  1.2993953053e+01  3.7467388278e-02  1.0000000000e+01  1.9508268599e+10
  1.3611046083e+01  3.5771266841e-02  1.0000000000e+01  2.0433267781e+10
  1.4257421558e+01  3.4151873734e-02  1.0000000000e+01  2.1402160242e+10
  1.4934468994e+01  3.2605742723e-02  1.0000000000e+01  2.2417028817e+10
  1.5643643845e+01  3.1129563741e-02  1.0000000000e+01  2.3480055176e+10
  1.6386470628e+01  2.9720175889e-02  1.0000000000e+01  2.4593524512e+10
  1.7164546203e+01  2.8374560750e-02  1.0000000000e+01  2.5759830457e+10
  1.7979543204e+01  2.7089835993e-02  1.0000000000e+01  2.6981480228e+10
  1.8833213635e+01  2.5863249269e-02  1.0000000000e+01  2.8261100012e+10
  1.9727392636e+01  2.4692172375e-02  1.0000000000e+01  2.9601440616e+10
  2.0664002431e+01  2.3574095676e-02  1.0000000000e+01  3.1005383378e+10
  2.1645056454e+01  2.2506622780e-02  1.0000000000e+01  3.2475946364e+10
  2.2672663685e+01  2.1487465444e-02  1.0000000000e+01  3.4016290852e+10
  2.3749033176e+01  2.0514438717e-02  1.0000000000e+01  3.5629728129e+10
  2.4876478807e+01  1.9585456287e-02  1.0000000000e+01  3.7319726614e+10
  2.6057424254e+01  1.8698526045e-02  1.0000000000e+01  3.9089919305e+10
  2.7294408202e+01  1.7851745848e-02  1.0000000000e+01  4.0944111597e+10
  2.8590089806e+01  1.7043299465e-02  1.0000000000e+01  4.2886289460e+10
  2.9947254398e+01  1.6271452708e-02  1.0000000000e+01  4.4920628005e+10
  3.1368819485e+01  1.5534549739e-02  1.0000000000e+01  4.7051500463e+10
  3.2857841013e+01  1.4831009534e-02  1.0000000000e+01  4.9283487584e+10
  3.4417519943e+01  1.4159322518e-02  1.0000000000e+01  5.1621387484e+10
  3.6051209126e+01  1.3518047340e-02  1.0000000000e+01  5.4070225962e+10
  3.7762420513e+01  1.2905807795e-02  1.0000000000e+01  5.6635267302e+10
  3.9554832706e+01  1.2321289892e-02  1.0000000000e+01  5.9322025588e+10
  4.1432298866e+01  1.1763239039e-02  1.0000000000e+01  6.2136276563e+10
  4.3398854994e+01  1.1230457373e-02  1.0000000000e+01  6.5084070039e+10
  4.5458728607e+01  1.0721801190e-02  1.0000000000e+01  6.8171742907e+10
  4.7616347828e+01  1.0236178508e-02  1.0000000000e+01  7.1405932756e+10
  4.9876350906e+01  9.7725467283e-03  1.0000000000e+01  7.4793592146e+10
  5.2243596184e+01  9.3299104072e-03  1.0000000000e+01  7.8342003548e+10
  5.4723172543e+01  8.9073191262e-03  1.0000000000e+01  8.2058795005e+10
  5.7320410345e+01  8.5038654586e-03  1.0000000000e+01  8.5951956528e+10
  6.0040892888e+01  8.1186830278e-03  1.0000000000e+01  9.0029857271e+10
  6.2890468410e+01  7.7509446526e-03  1.0000000000e+01  9.4301263522e+10
  6.5875262663e+01  7.3998605761e-03  1.0000000000e+01  9.8775357550e+10
  6.9001692077e+01  7.0646767752e-03  1.0000000000e+01  1.0346175734e+11
  7.2276477557e+01  6.7446733450e-03  1.0000000000e+01  1.0837053729e+11
  7.5706658931e+01  6.4391629575e-03  1.0000000000e+01  1.1351224981e+11
  7.9299610081e+01  6.1474893883e-03  1.0000000000e+01  1.1889794810e+11
  8.3063054797e+01  5.8690261112e-03  1.0000000000e+01  1.2453920981e+11
  8.7005083380e+01  5.6031749549e-03  1.0000000000e+01  1.3044816200e+11
  9.1134170033e+01  5.3493648215e-03  1.0000000000e+01  1.3663750718e+11
  9.5459191081e+01  5.1070504618e-03  1.0000000000e+01  1.4312055064e+11
  9.9989444048e+01  4.8757113066e-03  1.0000000000e+01  1.4991122900e+11
  1.2588198523e+02  3.8729948589e-03  1.0000000000e+01  1.8872317182e+11
  1.3941666098e+03  1.0000000000e-03  1.0000000000e+01  2.0898339970e+12
  1.5439585398e+04  1.0000000000e-03  1.0000000000e+01  2.3143387108e+13
  1.7098336880e+05  1.0000000000e-03  1.0000000000e+01  2.5629765287e+14
  1.8935285574e+06  1.0000000000e-03  1.0000000000e+01  2.8383279334e+15
  2.0969584584e+07  1.0000000000e-03  1.0000000000e+01  3.1432616559e+16
  2.3222436962e+08  1.0000000000e-03  1.0000000000e+01  3.4809557291e+17
  2.5717322919e+09  1.0000000000e-03  1.0000000000e+01  3.8549297255e+18
  2.8480245169e+10  1.0000000000e-03  1.0000000000e+01  4.2690813518e+19
  3.1540000000e+11  1.0000000000e-03  1.0000000000e+01  4.7277270627e+20
