#    ti [s]            T9 [GK]           de [g/cc]         R [km]       
  3.4958093685e-01  9.3772905876e-01  2.6341007970e+04  5.6397061264e+08
  3.6695954820e-01  9.1317821228e-01  2.3003849547e+04  5.9002049571e+08
  3.8516281352e-01  8.8919627057e-01  2.0086268077e+04  6.1730650397e+08
  4.0422986448e-01  8.6573916596e-01  1.7536042478e+04  6.4588729435e+08
  4.2420168965e-01  8.4276320202e-01  1.5307363287e+04  6.7582430713e+08
  4.4512122257e-01  8.2022497678e-01  1.3360059940e+04  7.0718189810e+08
  4.6703343411e-01  7.9808133690e-01  1.1658918791e+04  7.4002747689e+08
  4.8998542908e-01  7.7628937895e-01  1.0173081614e+04  7.7443165183e+08
  5.1402654753e-01  7.5480651979e-01  8.8755154173e+03  8.1046838180e+08
  5.3920847081e-01  7.3359066598e-01  7.7425453924e+03  8.4821513518e+08
  5.6558533265e-01  7.1260052191e-01  6.7534437084e+03  8.8775305641e+08
  5.9321383557e-01  6.9179608680e-01  5.8900676725e+03  9.2916714042e+08
  6.2215337273e-01  6.7113940186e-01  5.1365414912e+03  9.7254641531e+08
  6.5246615563e-01  6.5059561502e-01  4.4789765153e+03  1.0179841338e+09
  6.8421734787e-01  6.3013442755e-01  3.9052254309e+03  1.0655779736e+09
  7.1747520517e-01  6.0973196288e-01  3.4046663712e+03  1.1154302476e+09
  7.5231122216e-01  5.8937303896e-01  2.9680133896e+03  1.1676481234e+09
  7.8880028606e-01  5.6905371875e-01  2.5871501413e+03  1.2223438541e+09
  8.2702083762e-01  5.4878385214e-01  2.2549839871e+03  1.2796350196e+09
  8.6705503982e-01  5.2858912922e-01  1.9653180609e+03  1.3396447790e+09
  9.0898895443e-01  5.0851200460e-01  1.7127391265e+03  1.4025021357e+09
  9.5291272706e-01  4.8861083496e-01  1.4925193088e+03  1.4683422145e+09
  9.9892078090e-01  4.6895680953e-01  1.3005300103e+03  1.5373065523e+09
  1.0471120198e+00  4.4962877081e-01  1.1331665250e+03  1.6095434020e+09
  1.0975900407e+00  4.3070667088e-01  9.8728203920e+02  1.6852080519e+09
  1.1504633566e+00  4.1226489782e-01  8.6012986701e+02  1.7644631585e+09
  1.2058456295e+00  3.9436676888e-01  7.4931290571e+02  1.8474790972e+09
  1.2638559151e+00  3.7706108288e-01  6.5273942052e+02  1.9344343278e+09
  1.3246189185e+00  3.6038097079e-01  5.6858437511e+02  2.0255157785e+09
  1.3882652623e+00  3.4434469384e-01  4.9525562014e+02  2.1209192477e+09
  1.4549317674e+00  3.2895771868e-01  4.3136433597e+02  2.2208498248e+09
  1.5247617472e+00  3.1421536716e-01  3.7569919978e+02  2.3255223313e+09
  1.5979053157e+00  3.0010549228e-01  3.2720381228e+02  2.4351617823e+09
  1.6745197101e+00  2.8661084483e-01  2.8495697647e+02  2.5500038703e+09
  1.7547696288e+00  2.7371098334e-01  2.4815547121e+02  2.6702954722e+09
  1.8388275856e+00  2.6138371020e-01  2.1609900674e+02  2.7962951796e+09
  1.9268742804e+00  2.4960608829e-01  1.8817708778e+02  2.9282738549e+09
  2.0190989877e+00  2.3835512140e-01  1.6385754434e+02  3.0665152134e+09
  2.1156999636e+00  2.2760818399e-01  1.4267651988e+02  3.2113164334e+09
  2.2168848718e+00  2.1734327488e-01  1.2422973301e+02  3.3629887952e+09
  2.3228712302e+00  2.0753915361e-01  1.0816485174e+02  3.5218583496e+09
  2.4338868783e+00  1.9817540254e-01  9.4174839491e+01  3.6882666196e+09
  2.5501704670e+00  1.8923244433e-01  8.1992149805e+01  3.8625713342e+09
  2.6719719721e+00  1.8069153398e-01  7.1383662076e+01  4.0451471971e+09
  2.7995532310e+00  1.7253473760e-01  6.2146264234e+01  4.2363866930e+09
  2.9331885058e+00  1.6474490461e-01  5.4103000156e+01  4.4367009307e+09
  3.0731650732e+00  1.5730563745e-01  4.7099709952e+01  4.6465205267e+09
  3.2197838418e+00  1.5020126069e-01  4.1002100364e+01  4.8662965318e+09
  3.3733599988e+00  1.4341679062e-01  3.5693190457e+01  5.0965013998e+09
  3.5342236878e+00  1.3693790573e-01  3.1071084732e+01  5.3376300034e+09
  3.7027207185e+00  1.3075091819e-01  2.7047031850e+01  5.5902006985e+09
  3.8792133101e+00  1.2484274658e-01  2.3543732482e+01  5.8547564378e+09
  4.0640808699e+00  1.1920088951e-01  2.0493864434e+01  6.1318659384e+09
  4.2577208087e+00  1.1381340056e-01  1.7838797230e+01  6.4221249045e+09
  4.4605493955e+00  1.0866886408e-01  1.5527471917e+01  6.7261573076e+09
  4.6730026524e+00  1.0375637206e-01  1.3515424902e+01  7.0446167280e+09
  4.8955372913e+00  9.9065501991e-02  1.1763937378e+01  7.3781877600e+09
  5.1286316964e+00  9.4586295633e-02  1.0239294205e+01  7.7275874833e+09
  5.3727869523e+00  9.0309238658e-02  1.0000000000e+01  8.0935670047e+09
  5.6285279210e+00  8.6225241187e-02  1.0000000000e+01  8.4769130728e+09
  5.8964043705e+00  8.2325619139e-02  1.0000000000e+01  8.8784497689e+09
  6.1769921564e+00  7.8602076374e-02  1.0000000000e+01  9.2990402791e+09
  6.4708944602e+00  7.5046687599e-02  1.0000000000e+01  9.7395887495e+09
  6.7787430855e+00  7.1651882009e-02  1.0000000000e+01  1.0201042230e+10
  7.1011998165e+00  6.8410427629e-02  1.0000000000e+01  1.0684392710e+10
  7.4389578403e+00  6.5315416327e-02  1.0000000000e+01  1.1190679250e+10
  7.7927432375e+00  6.2360249477e-02  1.0000000000e+01  1.1720990220e+10
  8.1633165430e+00  5.9538624245e-02  1.0000000000e+01  1.2276465630e+10
  8.5514743804e+00  5.6844520463e-02  1.0000000000e+01  1.2858299591e+10
  8.9580511750e+00  5.4272188075e-02  1.0000000000e+01  1.3467742874e+10
  9.3839209477e+00  5.1816135136e-02  1.0000000000e+01  1.4106105604e+10
  9.8299991934e+00  4.9471116325e-02  1.0000000000e+01  1.4774760073e+10
  1.0297244849e+01  4.7232121964e-02  1.0000000000e+01  1.5475143691e+10
  1.0786662356e+01  4.5094367522e-02  1.0000000000e+01  1.6208762078e+10
  1.1299303818e+01  4.3053283570e-02  1.0000000000e+01  1.6977192298e+10
  1.1836271264e+01  4.1104506184e-02  1.0000000000e+01  1.7782086250e+10
  1.2398719016e+01  3.9243867768e-02  1.0000000000e+01  1.8625174220e+10
  1.2987856171e+01  3.7467388278e-02  1.0000000000e+01  1.9508268599e+10
  1.3604949201e+01  3.5771266841e-02  1.0000000000e+01  2.0433267781e+10
  1.4251324675e+01  3.4151873734e-02  1.0000000000e+01  2.1402160242e+10
  1.4928372112e+01  3.2605742723e-02  1.0000000000e+01  2.2417028817e+10
  1.5637546962e+01  3.1129563741e-02  1.0000000000e+01  2.3480055176e+10
  1.6380373745e+01  2.9720175889e-02  1.0000000000e+01  2.4593524512e+10
  1.7158449320e+01  2.8374560750e-02  1.0000000000e+01  2.5759830457e+10
