#    ti [s]            T9 [GK]           de [g/cc]         R [km]       
  2.9104019314e-01  1.0425215304e+00  4.5206573567e+04  4.7104970987e+08
  3.0547723309e-01  1.0152433761e+00  3.9507523542e+04  4.9269028833e+08
  3.2059934287e-01  9.8871618403e-01  3.4520362832e+04  5.1535776063e+08
  3.3643903056e-01  9.6289334551e-01  3.0157250996e+04  5.3910085517e+08
  3.5303034686e-01  9.3772905876e-01  2.6341007970e+04  5.6397061264e+08
  3.7040895821e-01  9.1317821228e-01  2.3003849547e+04  5.9002049571e+08
  3.8861222353e-01  8.8919627057e-01  2.0086268077e+04  6.1730650397e+08
  4.0767927449e-01  8.6573916596e-01  1.7536042478e+04  6.4588729435e+08
  4.2765109965e-01  8.4276320202e-01  1.5307363287e+04  6.7582430713e+08
  4.4857063257e-01  8.2022497678e-01  1.3360059940e+04  7.0718189810e+08
  4.7048284411e-01  7.9808133690e-01  1.1658918791e+04  7.4002747689e+08
  4.9343483908e-01  7.7628937895e-01  1.0173081614e+04  7.7443165183e+08
  5.1747595753e-01  7.5480651979e-01  8.8755154173e+03  8.1046838180e+08
  5.4265788081e-01  7.3359066598e-01  7.7425453924e+03  8.4821513518e+08
  5.6903474266e-01  7.1260052191e-01  6.7534437084e+03  8.8775305641e+08
  5.9666324557e-01  6.9179608680e-01  5.8900676725e+03  9.2916714042e+08
  6.2560278273e-01  6.7113940186e-01  5.1365414912e+03  9.7254641531e+08
  6.5591556564e-01  6.5059561502e-01  4.4789765153e+03  1.0179841338e+09
  6.8766675787e-01  6.3013442755e-01  3.9052254309e+03  1.0655779736e+09
  7.2092461517e-01  6.0973196288e-01  3.4046663712e+03  1.1154302476e+09
  7.5576063217e-01  5.8937303896e-01  2.9680133896e+03  1.1676481234e+09
  7.9224969606e-01  5.6905371875e-01  2.5871501413e+03  1.2223438541e+09
  8.3047024763e-01  5.4878385214e-01  2.2549839871e+03  1.2796350196e+09
  8.7050444983e-01  5.2858912922e-01  1.9653180609e+03  1.3396447790e+09
  9.1243836444e-01  5.0851200460e-01  1.7127391265e+03  1.4025021357e+09
  9.5636213706e-01  4.8861083496e-01  1.4925193088e+03  1.4683422145e+09
  1.0023701909e+00  4.6895680953e-01  1.3005300103e+03  1.5373065523e+09
  1.0505614298e+00  4.4962877081e-01  1.1331665250e+03  1.6095434020e+09
  1.1010394507e+00  4.3070667088e-01  9.8728203920e+02  1.6852080519e+09
  1.1539127666e+00  4.1226489782e-01  8.6012986701e+02  1.7644631585e+09
  1.2092950395e+00  3.9436676888e-01  7.4931290571e+02  1.8474790972e+09
  1.2673053251e+00  3.7706108288e-01  6.5273942052e+02  1.9344343278e+09
  1.3280683285e+00  3.6038097079e-01  5.6858437511e+02  2.0255157785e+09
  1.3917146723e+00  3.4434469384e-01  4.9525562014e+02  2.1209192477e+09
  1.4583811774e+00  3.2895771868e-01  4.3136433597e+02  2.2208498248e+09
  1.5282111572e+00  3.1421536716e-01  3.7569919978e+02  2.3255223313e+09
  1.6013547257e+00  3.0010549228e-01  3.2720381228e+02  2.4351617823e+09
  1.6779691201e+00  2.8661084483e-01  2.8495697647e+02  2.5500038703e+09
  1.7582190388e+00  2.7371098334e-01  2.4815547121e+02  2.6702954722e+09
  1.8422769956e+00  2.6138371020e-01  2.1609900674e+02  2.7962951796e+09
  1.9303236904e+00  2.4960608829e-01  1.8817708778e+02  2.9282738549e+09
  2.0225483977e+00  2.3835512140e-01  1.6385754434e+02  3.0665152134e+09
  2.1191493736e+00  2.2760818399e-01  1.4267651988e+02  3.2113164334e+09
  2.2203342819e+00  2.1734327488e-01  1.2422973301e+02  3.3629887952e+09
  2.3263206402e+00  2.0753915361e-01  1.0816485174e+02  3.5218583496e+09
  2.4373362883e+00  1.9817540254e-01  9.4174839491e+01  3.6882666196e+09
  2.5536198770e+00  1.8923244433e-01  8.1992149805e+01  3.8625713342e+09
  2.6754213821e+00  1.8069153398e-01  7.1383662076e+01  4.0451471971e+09
  2.8030026410e+00  1.7253473760e-01  6.2146264234e+01  4.2363866930e+09
  2.9366379158e+00  1.6474490461e-01  5.4103000156e+01  4.4367009307e+09
  3.0766144833e+00  1.5730563745e-01  4.7099709952e+01  4.6465205267e+09
  3.2232332518e+00  1.5020126069e-01  4.1002100364e+01  4.8662965318e+09
  3.3768094088e+00  1.4341679062e-01  3.5693190457e+01  5.0965013998e+09
  3.5376730978e+00  1.3693790573e-01  3.1071084732e+01  5.3376300034e+09
  3.7061701285e+00  1.3075091819e-01  2.7047031850e+01  5.5902006985e+09
  3.8826627202e+00  1.2484274658e-01  2.3543732482e+01  5.8547564378e+09
  4.0675302799e+00  1.1920088951e-01  2.0493864434e+01  6.1318659384e+09
  4.2611702187e+00  1.1381340056e-01  1.7838797230e+01  6.4221249045e+09
  4.4639988055e+00  1.0866886408e-01  1.5527471917e+01  6.7261573076e+09
  4.6764520624e+00  1.0375637206e-01  1.3515424902e+01  7.0446167280e+09
  4.8989867013e+00  9.9065501991e-02  1.1763937378e+01  7.3781877600e+09
  5.1320811065e+00  9.4586295633e-02  1.0239294205e+01  7.7275874833e+09
  5.3762363623e+00  9.0309238658e-02  1.0000000000e+01  8.0935670047e+09
  5.6319773310e+00  8.6225241187e-02  1.0000000000e+01  8.4769130728e+09
  5.8998537805e+00  8.2325619139e-02  1.0000000000e+01  8.8784497689e+09
  6.1804415664e+00  7.8602076374e-02  1.0000000000e+01  9.2990402791e+09
  6.4743438703e+00  7.5046687599e-02  1.0000000000e+01  9.7395887495e+09
  6.7821924956e+00  7.1651882009e-02  1.0000000000e+01  1.0201042230e+10
  7.1046492265e+00  6.8410427629e-02  1.0000000000e+01  1.0684392710e+10
  7.4424072503e+00  6.5315416327e-02  1.0000000000e+01  1.1190679250e+10
  7.7961926476e+00  6.2360249477e-02  1.0000000000e+01  1.1720990220e+10
  8.1667659530e+00  5.9538624245e-02  1.0000000000e+01  1.2276465630e+10
  8.5549237904e+00  5.6844520463e-02  1.0000000000e+01  1.2858299591e+10
  8.9615005851e+00  5.4272188075e-02  1.0000000000e+01  1.3467742874e+10
  9.3873703578e+00  5.1816135136e-02  1.0000000000e+01  1.4106105604e+10
  9.8334486034e+00  4.9471116325e-02  1.0000000000e+01  1.4774760073e+10
  1.0300694259e+01  4.7232121964e-02  1.0000000000e+01  1.5475143691e+10
  1.0790111766e+01  4.5094367522e-02  1.0000000000e+01  1.6208762078e+10
  1.1302753228e+01  4.3053283570e-02  1.0000000000e+01  1.6977192298e+10
  1.1839720674e+01  4.1104506184e-02  1.0000000000e+01  1.7782086250e+10
  1.2402168426e+01  3.9243867768e-02  1.0000000000e+01  1.8625174220e+10
  1.2991305581e+01  3.7467388278e-02  1.0000000000e+01  1.9508268599e+10
  1.3608398611e+01  3.5771266841e-02  1.0000000000e+01  2.0433267781e+10
  1.4254774085e+01  3.4151873734e-02  1.0000000000e+01  2.1402160242e+10
  1.4931821522e+01  3.2605742723e-02  1.0000000000e+01  2.2417028817e+10
  1.5640996372e+01  3.1129563741e-02  1.0000000000e+01  2.3480055176e+10
  1.6383823155e+01  2.9720175889e-02  1.0000000000e+01  2.4593524512e+10
  1.7161898730e+01  2.8374560750e-02  1.0000000000e+01  2.5759830457e+10
  1.7976895731e+01  2.7089835993e-02  1.0000000000e+01  2.6981480228e+10
  1.8830566162e+01  2.5863249269e-02  1.0000000000e+01  2.8261100012e+10
  1.9724745164e+01  2.4692172375e-02  1.0000000000e+01  2.9601440616e+10
  2.0661354958e+01  2.3574095676e-02  1.0000000000e+01  3.1005383378e+10
  2.1642408982e+01  2.2506622780e-02  1.0000000000e+01  3.2475946364e+10
  2.2670016212e+01  2.1487465444e-02  1.0000000000e+01  3.4016290852e+10
  2.3746385704e+01  2.0514438717e-02  1.0000000000e+01  3.5629728129e+10
  2.4873831334e+01  1.9585456287e-02  1.0000000000e+01  3.7319726614e+10
  2.6054776781e+01  1.8698526045e-02  1.0000000000e+01  3.9089919305e+10
  2.7291760730e+01  1.7851745848e-02  1.0000000000e+01  4.0944111597e+10
  2.8587442333e+01  1.7043299465e-02  1.0000000000e+01  4.2886289460e+10
  2.9944606925e+01  1.6271452708e-02  1.0000000000e+01  4.4920628005e+10
  3.1366172012e+01  1.5534549739e-02  1.0000000000e+01  4.7051500463e+10
  3.2855193541e+01  1.4831009534e-02  1.0000000000e+01  4.9283487584e+10
  3.4414872471e+01  1.4159322518e-02  1.0000000000e+01  5.1621387484e+10
  3.6048561653e+01  1.3518047340e-02  1.0000000000e+01  5.4070225962e+10
  3.7759773040e+01  1.2905807795e-02  1.0000000000e+01  5.6635267302e+10
  3.9552185234e+01  1.2321289892e-02  1.0000000000e+01  5.9322025588e+10
  4.1429651394e+01  1.1763239039e-02  1.0000000000e+01  6.2136276563e+10
  4.3396207521e+01  1.1230457373e-02  1.0000000000e+01  6.5084070039e+10
  4.5456081134e+01  1.0721801190e-02  1.0000000000e+01  6.8171742907e+10
  4.7613700356e+01  1.0236178508e-02  1.0000000000e+01  7.1405932756e+10
  4.9873703434e+01  9.7725467283e-03  1.0000000000e+01  7.4793592146e+10
  5.2240948711e+01  9.3299104072e-03  1.0000000000e+01  7.8342003548e+10
  5.4720525071e+01  8.9073191262e-03  1.0000000000e+01  8.2058795005e+10
  5.7317762872e+01  8.5038654586e-03  1.0000000000e+01  8.5951956528e+10
  6.0038245415e+01  8.1186830278e-03  1.0000000000e+01  9.0029857271e+10
  6.2887820938e+01  7.7509446526e-03  1.0000000000e+01  9.4301263522e+10
  6.5872615191e+01  7.3998605761e-03  1.0000000000e+01  9.8775357550e+10
  6.8999044605e+01  7.0646767752e-03  1.0000000000e+01  1.0346175734e+11
  7.2273830085e+01  6.7446733450e-03  1.0000000000e+01  1.0837053729e+11
  7.5704011459e+01  6.4391629575e-03  1.0000000000e+01  1.1351224981e+11
  7.9296962609e+01  6.1474893883e-03  1.0000000000e+01  1.1889794810e+11
  8.3060407325e+01  5.8690261112e-03  1.0000000000e+01  1.2453920981e+11
  8.7002435907e+01  5.6031749549e-03  1.0000000000e+01  1.3044816200e+11
  9.1131522561e+01  5.3493648215e-03  1.0000000000e+01  1.3663750718e+11
  9.5456543608e+01  5.1070504618e-03  1.0000000000e+01  1.4312055064e+11
  9.9986796575e+01  4.8757113066e-03  1.0000000000e+01  1.4991122900e+11
  1.2587933775e+02  3.8729948589e-03  1.0000000000e+01  1.8872317182e+11
  1.3941639623e+03  1.0000000000e-03  1.0000000000e+01  2.0898339970e+12
  1.5439582750e+04  1.0000000000e-03  1.0000000000e+01  2.3143387108e+13
  1.7098336615e+05  1.0000000000e-03  1.0000000000e+01  2.5629765287e+14
  1.8935285548e+06  1.0000000000e-03  1.0000000000e+01  2.8383279334e+15
  2.0969584581e+07  1.0000000000e-03  1.0000000000e+01  3.1432616559e+16
  2.3222436961e+08  1.0000000000e-03  1.0000000000e+01  3.4809557291e+17
  2.5717322919e+09  1.0000000000e-03  1.0000000000e+01  3.8549297255e+18
  2.8480245169e+10  1.0000000000e-03  1.0000000000e+01  4.2690813518e+19
  3.1540000000e+11  1.0000000000e-03  1.0000000000e+01  4.7277270627e+20
