    n    5.4050817773e-01
    p    2.8247958686e-05
    d    8.2024033460e-07
    t    1.7898924191e-06
  he3    3.0937153385e-11
  he4    3.9625819381e-02
  he6    8.2521323859e-09
  li6    6.7703505367e-11
  li7    6.6537082167e-10
  li8    3.0082809685e-12
  be7    3.2201821584e-15
  be8    1.3038843094e-07
  be9    1.0042996295e-09
 be10    8.6820897057e-10
 be11    6.2154061869e-13
 be12    5.2009283574e-15
   b8    4.9093733676e-23
  b10    2.3059337789e-13
  b11    3.7319199482e-10
  b12    6.2742468969e-12
  b13    1.6417625592e-12
  b14    1.3693256993e-15
  c11    3.5741378482e-16
  c12    9.3878912554e-09
  c13    4.0682713480e-09
  c14    4.7058519877e-08
  c15    8.8878710656e-11
  c16    3.3751925383e-12
  c17    1.5301809992e-15
  c18    1.0362292395e-16
  n12    5.7353975572e-24
  n13    2.7666135686e-15
  n14    3.0178851585e-12
  n15    2.1680155289e-09
  n16    3.1989568884e-11
  n17    1.0286548295e-11
  n18    1.4621435893e-13
  n19    1.7107946392e-14
  n20    6.1341355770e-17
  n21    7.2809539764e-18
  o14    9.8796194151e-21
  o15    6.8188052267e-16
  o16    4.0128460580e-10
  o17    1.7050802492e-10
  o18    6.4295541768e-10
  o19    2.2833779689e-10
  o20    3.6498332882e-10
  f17    5.6696064572e-17
  f18    5.6184894172e-15
  f19    4.3476504879e-12
  f20    1.1045706495e-11
  f21    1.5401908592e-10
  f22    5.8507864671e-11
  f23    2.2027783489e-10
  f26    9.6612295453e-16
 ne17    2.3925412488e-31
 ne18    2.9074780686e-23
 ne19    6.2652231569e-19
 ne20    6.4678213168e-13
 ne21    1.0405434795e-11
 ne22    1.1735162594e-09
 ne23    1.4279871893e-09
 ne24    1.3891377793e-08
 ne25    2.0840969590e-09
 ne26    3.4518341083e-10
 ne27    1.6422324192e-12
 ne29    5.2911486274e-17
 ne30    2.7345691387e-19
 na20    1.0985092995e-25
 na21    1.0647035795e-18
 na22    2.4176947188e-15
 na23    1.4102944493e-11
 na24    1.0625059495e-10
 na25    4.8938291976e-09
 na26    3.8377395981e-09
 na27    5.4917390073e-09
 na28    1.2216065394e-10
 na29    1.0991425495e-11
 na30    8.5104584558e-14
 na31    2.7523527986e-15
 na32    3.6347460782e-18
 na33    1.7030074392e-20
 na34    2.1582467389e-24
 mg21    7.3948037064e-32
 mg22    5.6041571772e-24
 mg23    6.6960414267e-19
 mg24    5.7617441572e-13
 mg25    1.9704572390e-11
 mg26    4.6368606977e-09
 mg27    2.1351593790e-08
 mg28    2.8921321786e-07
 mg29    4.2529671379e-08
 mg30    2.0534450890e-08
 mg31    2.8400163686e-10
 mg32    6.7943455067e-11
 mg33    7.7594759462e-13
 mg34    1.2806541094e-14
 mg35    2.0649749790e-17
 mg36    3.8850391481e-20
 al24    1.6128250792e-25
 al25    6.8762577566e-19
 al26    2.9894704885e-15
 al27    3.2610219084e-11
 al28    7.3813730564e-10
 al29    4.2802010079e-08
 al30    5.2346167474e-08
 al31    1.3811033393e-07
 al32    1.1501391694e-08
 al33    4.4599281378e-09
 al34    5.7247621772e-11
 al35    9.1952951755e-12
 al36    4.5170004278e-14
 al37    1.3352737893e-15
 al38    4.1448109380e-18
 al39    2.2541579689e-20
 al41    3.3376152784e-27
 si24    2.9061472686e-38
 si25    1.0921809195e-31
 si26    2.6941840587e-24
 si27    5.4368480173e-19
 si28    8.8337944157e-13
 si29    6.6490179067e-11
 si30    1.8586200091e-08
 si31    1.7179626492e-07
 si32    3.7384863882e-06
 si33    1.7379997891e-06
 si34    2.5398150688e-06
 si35    1.0486448795e-07
 si36    1.7821700491e-08
 si37    3.6982243982e-10
 si38    2.9698015785e-11
 si39    5.6622211272e-13
 si40    3.4671358583e-14
 si41    2.3077374589e-18
 si42    3.6846885982e-20
 si44    8.1615145660e-27
