#    time [s]          t9 [GK]          density [g/cc]
  7.2093100000e+01  2.0702000000e-01  8.6856100000e+05
  7.2965400000e+01  2.0709400000e-01  8.6851500000e+05
  7.3837600000e+01  2.0716800000e-01  8.6847000000e+05
  7.4709800000e+01  2.0724100000e-01  8.6842600000e+05
  7.5582000000e+01  2.0731500000e-01  8.6838100000e+05
  7.6454300000e+01  2.0738800000e-01  8.6833700000e+05
  7.7326500000e+01  2.0746100000e-01  8.6829300000e+05
  7.8198700000e+01  2.0753400000e-01  8.6825000000e+05
  7.9070900000e+01  2.0760600000e-01  8.6820700000e+05
  7.9943100000e+01  2.0767900000e-01  8.6816600000e+05
  8.0815400000e+01  2.0775100000e-01  8.6812000000e+05
  8.1687600000e+01  2.0782300000e-01  8.6807900000e+05
  8.2559800000e+01  2.0789400000e-01  8.6803300000e+05
  8.3432000000e+01  2.0796600000e-01  8.6799100000e+05
  8.4304300000e+01  2.0803700000e-01  8.6795200000e+05
  8.5176500000e+01  2.0810800000e-01  8.6790700000e+05
  8.6048700000e+01  2.0817900000e-01  8.6786300000e+05
  8.6920900000e+01  2.0825000000e-01  8.6782500000e+05
  8.7793100000e+01  2.0832000000e-01  8.6778100000e+05
  8.8665400000e+01  2.0839100000e-01  8.6773700000e+05
  8.9537600000e+01  2.0846100000e-01  8.6769500000e+05
  9.0409800000e+01  2.0853100000e-01  8.6765400000e+05
  9.1282000000e+01  2.0860000000e-01  8.6761300000e+05
  9.2154300000e+01  2.0867000000e-01  8.6757400000e+05
  9.3026500000e+01  2.0873900000e-01  8.6752800000e+05
  9.3898700000e+01  2.0880800000e-01  8.6749200000e+05
  9.4770900000e+01  2.0887700000e-01  8.6745300000e+05
  9.5643100000e+01  2.0894500000e-01  8.6741000000e+05
  9.6515400000e+01  2.0901400000e-01  8.6736800000e+05
  9.7387600000e+01  2.0908200000e-01  8.6732400000e+05
  9.8259800000e+01  2.0915000000e-01  8.6728700000e+05
  9.9132000000e+01  2.0921800000e-01  8.6724600000e+05
  1.0000400000e+02  2.0928600000e-01  8.6720900000e+05
  1.0087600000e+02  2.0935300000e-01  8.6716400000e+05
  1.0174900000e+02  2.0942100000e-01  8.6712800000e+05
  1.0262100000e+02  2.0948800000e-01  8.6708700000e+05
  1.0349300000e+02  2.0955500000e-01  8.6704700000e+05
  1.0436500000e+02  2.0962200000e-01  8.6701000000e+05
  1.0523800000e+02  2.0968800000e-01  8.6697100000e+05
  1.0611000000e+02  2.0975500000e-01  8.6693100000e+05
  1.0698200000e+02  2.0982100000e-01  8.6689300000e+05
  1.0785400000e+02  2.0988700000e-01  8.6685600000e+05
  1.0872600000e+02  2.0995300000e-01  8.6681700000e+05
  1.0959900000e+02  2.1001900000e-01  8.6677900000e+05
  1.1047100000e+02  2.1008400000e-01  8.6673700000e+05
  1.1134300000e+02  2.1014900000e-01  8.6670100000e+05
  1.1221500000e+02  2.1021500000e-01  8.6666100000e+05
  1.1308800000e+02  2.1028000000e-01  8.6662300000e+05
  1.1396000000e+02  2.1034400000e-01  8.6658700000e+05
  1.1483200000e+02  2.1040900000e-01  8.6654700000e+05
  1.1570400000e+02  2.1047400000e-01  8.6651000000e+05
  1.1657600000e+02  2.1053800000e-01  8.6647600000e+05
  1.1744900000e+02  2.1060200000e-01  8.6643700000e+05
  1.1832100000e+02  2.1066600000e-01  8.6639900000e+05
  1.1919300000e+02  2.1073000000e-01  8.6636000000e+05
  1.2006500000e+02  2.1079400000e-01  8.6632600000e+05
  1.2093800000e+02  2.1085700000e-01  8.6628900000e+05
  1.2181000000e+02  2.1092000000e-01  8.6624900000e+05
  1.2268200000e+02  2.1098400000e-01  8.6621500000e+05
  1.2355400000e+02  2.1104700000e-01  8.6617600000e+05
  1.2442600000e+02  2.1111000000e-01  8.6614200000e+05
  1.2529900000e+02  2.1117200000e-01  8.6610500000e+05
  1.2617100000e+02  2.1123500000e-01  8.6606800000e+05
  1.2704300000e+02  2.1129700000e-01  8.6603200000e+05
  1.2791500000e+02  2.1135900000e-01  8.6599900000e+05
  1.2878800000e+02  2.1142200000e-01  8.6596000000e+05
  1.2966000000e+02  2.1148300000e-01  8.6592500000e+05
  1.3053200000e+02  2.1154500000e-01  8.6588800000e+05
  1.3140400000e+02  2.1160700000e-01  8.6585400000e+05
  1.3227600000e+02  2.1166800000e-01  8.6582000000e+05
  1.3314900000e+02  2.1173000000e-01  8.6578300000e+05
  1.3402100000e+02  2.1179100000e-01  8.6574600000e+05
  1.3489300000e+02  2.1185200000e-01  8.6571300000e+05
  1.3576500000e+02  2.1191300000e-01  8.6567900000e+05
  1.3663800000e+02  2.1197400000e-01  8.6564200000e+05
  1.3751000000e+02  2.1203400000e-01  8.6561100000e+05
  1.3838200000e+02  2.1209500000e-01  8.6557600000e+05
  1.3925400000e+02  2.1215500000e-01  8.6553900000e+05
  1.4012600000e+02  2.1221500000e-01  8.6550200000e+05
  1.4099900000e+02  2.1227500000e-01  8.6547100000e+05
  1.4187100000e+02  2.1233500000e-01  8.6543700000e+05
  1.4274300000e+02  2.1239500000e-01  8.6540000000e+05
  1.4361500000e+02  2.1245400000e-01  8.6536900000e+05
  1.4448800000e+02  2.1251400000e-01  8.6533200000e+05
  1.4536000000e+02  2.1257300000e-01  8.6530100000e+05
  1.4623200000e+02  2.1263300000e-01  8.6526200000e+05
  1.4710400000e+02  2.1269200000e-01  8.6523400000e+05
  1.4797600000e+02  2.1275100000e-01  8.6519800000e+05
  1.4884900000e+02  2.1280900000e-01  8.6516800000e+05
  1.4972100000e+02  2.1286800000e-01  8.6513100000e+05
  1.5059300000e+02  2.1292700000e-01  8.6509900000e+05
  1.5146500000e+02  2.1298500000e-01  8.6506500000e+05
  1.5233800000e+02  2.1304300000e-01  8.6503400000e+05
  1.5321000000e+02  2.1310200000e-01  8.6500000000e+05
  1.5408200000e+02  2.1316000000e-01  8.6496800000e+05
  1.5495400000e+02  2.1321800000e-01  8.6493400000e+05
  1.5582600000e+02  2.1327500000e-01  8.6490000000e+05
  1.5669900000e+02  2.1333300000e-01  8.6486800000e+05
  1.5757100000e+02  2.1339100000e-01  8.6483400000e+05
  1.5844300000e+02  2.1344800000e-01  8.6480500000e+05
  1.5931500000e+02  2.1350500000e-01  8.6477200000e+05
  1.6018800000e+02  2.1356300000e-01  8.6474100000e+05
  1.6106000000e+02  2.1362000000e-01  8.6470700000e+05
  1.6193200000e+02  2.1367700000e-01  8.6467600000e+05
  1.6280400000e+02  2.1373400000e-01  8.6464600000e+05
  1.6367600000e+02  2.1379000000e-01  8.6461200000e+05
  1.6454900000e+02  2.1384700000e-01  8.6458100000e+05
  1.6542100000e+02  2.1390400000e-01  8.6455000000e+05
  1.6629300000e+02  2.1396000000e-01  8.6451400000e+05
  1.6716500000e+02  2.1401600000e-01  8.6448200000e+05
  1.6803800000e+02  2.1407200000e-01  8.6445100000e+05
  1.6891000000e+02  2.1412900000e-01  8.6442500000e+05
  1.6978200000e+02  2.1418500000e-01  8.6438700000e+05
  1.7065400000e+02  2.1424000000e-01  8.6435900000e+05
  1.7152600000e+02  2.1429600000e-01  8.6432800000e+05
  1.7239900000e+02  2.1435200000e-01  8.6429600000e+05
  1.7327100000e+02  2.1440700000e-01  8.6426800000e+05
  1.7414300000e+02  2.1446300000e-01  8.6423400000e+05
  1.7501500000e+02  2.1451800000e-01  8.6420200000e+05
  1.7588800000e+02  2.1457300000e-01  8.6417100000e+05
  1.7676000000e+02  2.1462800000e-01  8.6414000000e+05
  1.7763200000e+02  2.1468400000e-01  8.6411100000e+05
  1.7850400000e+02  2.1473800000e-01  8.6408400000e+05
